Date,Close,High,Low,Open,Volume,MA_20,Daily_Return_%,Volatility_20
2025-09-03,102500.3125,103266.66997663552,101638.16033878505,101638.16033878505,544535,,,
2025-09-04,102500.3125,102691.90186915887,101350.77628504673,101542.3656542056,563510,,0.0,
2025-09-05,102117.1328125,102500.3115472561,101638.15939405488,101733.95407774391,442357,,-0.3738327017295706,
2025-09-08,100488.625,101638.16122497617,99722.26751668255,101638.16122497617,713309,,-1.5947449440145811,
2025-09-09,101063.390625,101446.56935722749,100297.03316054503,101063.390625,599237,,0.5719708325196082,
2025-09-10,101542.3671875,102500.31404775944,100488.62564121463,100488.62564121463,704159,,0.4739367633896929,
2025-09-11,102117.1328125,102308.72217987805,100967.59660823172,101446.57002667684,1118881,,0.5660352825325399,
2025-09-12,101446.5703125,102117.13310021246,100967.59689270538,101638.15968041784,906762,,-0.6566601328605981,
2025-09-15,97423.1953125,100680.21462481564,97040.01656987463,100392.83056784661,2334779,,-3.9660039640632916,
2025-09-16,97135.8125,97614.78593441815,96273.66031804733,97423.19656065089,1317017,,-0.29498397335272486,
2025-09-17,96752.6328125,97231.60624226485,96273.65938273515,96944.22218440594,1005177,,-0.3944782852359441,
2025-09-18,97710.578125,97902.16749387255,96848.42596507353,97231.60470281863,1143276,,0.9900974109473992,
2025-09-22,97614.78125,98189.54934371934,96944.21847399411,97231.60252085378,737975,,-0.09804145757632554,
2025-09-23,98476.9375,98572.73218628405,97040.0172057393,97040.0172057393,597793,,0.8832230518367234,
2025-09-24,98668.5234375,99243.29153519418,98189.55002275486,98572.72875455098,680285,,0.19454904098739068,
2025-09-25,97710.578125,98668.52496936276,97135.81001838236,98668.52496936276,775758,,-0.9708722489465416,
2025-09-26,95986.2734375,97040.01496226298,95986.2734375,96944.22027819362,700206,,-1.7647062586142126,
2025-09-29,96465.25,96944.22343594836,95794.68718967229,96369.45531281033,639908,,0.4990052695522884,
2025-09-30,96465.25,97518.9915590864,95986.27656405163,95986.27656405163,885167,,0.0,
2025-10-01,96369.453125,97231.6052901342,95986.27438494036,96273.6584399851,580310,99027.75546875,-0.09930713391610446,
2025-10-02,99818.0625,100584.41998560462,96465.24850047985,96465.24850047985,1580346,98893.64296875,3.5785295684171103,1.4250731745863376
2025-10-10,96369.453125,98189.55214028331,96369.453125,96848.42655007455,1354370,98587.1,-3.454895124817714,1.607166556931121
2025-10-13,96848.421875,97423.18995734422,95890.47507109298,96656.83251421861,564201,98323.664453125,0.4970130414445162,1.6167027435503567
2025-10-14,98189.5546875,99530.6803125,96273.6609375,96369.455625,971824,98208.7109375,1.3847750810343396,1.6237240894947995
2025-10-15,99434.8828125,99434.8828125,97518.98911669075,97806.37317106214,598957,98127.285546875,1.2682898185691904,1.6462682236495747
2025-10-16,106619.484375,107385.84185478436,103649.84914083558,104703.59067553908,2290270,98381.14140625,7.225433730381803,2.318326995133605
2025-10-17,107385.84375,108631.17467662801,105469.95001672613,106140.51282337199,1054766,98644.576953125,0.7187798548195623,2.3196070393355113
2025-10-20,109684.9140625,113037.72802947598,106523.6894650655,112079.78118176856,1188885,99056.494140625,2.1409435659437204,2.3445599437953857
2025-10-21,110930.2421875,114762.029482405,110355.47409326425,110355.47409326425,1725109,99731.846484375,1.1353686472238111,2.1082263219829516
2025-10-22,113133.5234375,113612.49686441575,110451.2722467718,113420.90749364944,1259947,100531.73203125,1.9861862793699725,2.1148581901478014
2025-10-23,110163.8828125,112558.74983016304,109876.49877038044,111409.21366168479,1129493,101202.29453125,-2.624898911276785,2.2357362856592338
2025-10-24,110068.09375,111313.42466275021,108918.55752284595,111026.04060596171,738758,101820.1703125,-0.08695142187665761,2.240699680876507
2025-10-27,109972.296875,112558.75333460367,109972.296875,110547.06497713416,916818,102438.04609375,-0.08703419105048349,2.240515215846825
2025-10-28,108822.7578125,109397.52589953785,108056.40036311619,109301.73121836488,872146,102955.337109375,-1.0452987662944113,2.2699496035306748
2025-10-29,110930.2421875,111696.599646481,108343.78576343913,110451.26877563687,1165316,103568.423046875,1.9366209948760593,2.2899479981843367
2025-10-30,111313.421875,120892.8901947074,111217.62719180294,120797.09551151033,2737130,104248.565234375,0.3454240069649561,2.2607953718071387
2025-10-31,114857.828125,117444.2846382402,111121.83538365304,112079.78224040868,3039559,105192.14296875,3.184167902034507,2.2502109968087316
2025-11-03,112750.34375,116007.36302570094,112558.75438084111,115624.18428738318,1371107,106006.39765625,-1.8348635085685405,2.332483105064368
2025-11-04,109589.1171875,113995.67259888549,108726.96504179414,111696.60021033653,1179087,106662.591015625,-2.8037400662026757,2.464165793722116
2025-11-05,106332.1015625,109780.71026182432,104799.38658502253,109589.12088963964,1290707,107160.7234375,-2.9720246942289474,2.591685567438004
2025-11-06,107290.046875,108439.58309151787,105613.63989257812,107769.0202985491,865031,107534.32265625,0.9008994446864538,2.492899719261638
2025-11-07,105469.9453125,106906.86554836512,104320.40912380791,105565.73999489102,536664,107989.347265625,-1.6964309509721276,2.378514581960647
2025-11-10,108918.5546875,109972.29620162709,106715.27697614336,106811.07165924582,699593,108592.85390625,3.2697555353631946,2.459085440711678
2025-11-11,111121.8359375,111121.8359375,109014.35284213362,109301.73690059267,959520,109239.46796875,2.022870443260527,2.4736635201957293
