Date,Close,High,Low,Open,Volume,MA_20,Daily_Return_%,Volatility_20
2025-09-03,68934.9296875,68934.9296875,67947.32324498567,68342.3658219914,10283009,,,
2025-09-04,69231.2109375,69231.2109375,68441.12579128031,68638.64707783524,12284414,,0.4297984365010832,
2025-09-05,68638.6484375,69527.49424460431,68638.6484375,69428.7335993705,11526724,,-0.8559181501749946,
2025-09-08,69231.2109375,69626.25351060984,68737.4077211127,68934.92900766761,9263135,,0.8633073545140757,
2025-09-09,70613.859375,70613.859375,69132.44973776223,69231.21038024475,14870245,,1.9971461119584033,
2025-09-10,71700.234375,71897.75568181818,70712.62784090909,70910.14914772726,21928565,,1.5384727723643188,
2025-09-11,72490.3125,72687.83378746595,71206.42413147139,72292.79121253407,20793501,,1.1019184691472672,
2025-09-12,74465.53125,74663.0525530504,73280.40343169762,73675.4460377984,28219678,,2.7248037453280416,
2025-09-15,75551.8984375,76638.26560457516,74959.33452818627,76243.222998366,19908805,,1.4588859694733003,
2025-09-16,78415.9609375,78514.72159359256,75749.42322300063,75946.94453518577,28218265,,3.790854444735481,
2025-09-17,77230.8203125,78119.66607057225,76144.45327485613,78119.66607057225,20856317,,-1.511351274448569,
2025-09-18,79304.796875,79502.31816235991,77625.86593244085,78119.6691508406,25619035,,2.6854260437841226,
2025-09-22,82465.140625,82958.94386227545,80094.88508607785,80489.9276758982,27529656,,3.9850600146940973,
2025-09-23,83650.265625,84835.39335522433,82563.89853896103,84736.63271103895,23610263,,1.4371223901614494,
2025-09-24,84341.59375,84440.35439841921,82662.66272687353,83156.46596896955,18300997,,0.8264506033957897,
2025-09-25,85032.9140625,85131.67470601045,83057.70119229094,83353.9831228223,19665151,,0.8196671200560557,
2025-09-26,82267.6171875,84242.83008515906,81378.77138355342,83946.5481505102,24071193,,-3.252031175795622,
2025-09-29,83527.4765625,84321.08679112233,82535.46377672208,82634.66505529988,13069094,,1.531415905882616,
2025-09-30,83229.875,84221.88781287246,82733.86859356376,83924.28396901072,16319061,,-0.35629181527747633,
2025-10-01,85313.1015625,85511.50412427326,84023.48491097384,84221.8874727471,22039361,77281.869921875,2.5029793238305453,
2025-10-02,89033.1484375,89578.75547527855,87991.53500174095,88586.74267931755,49883028,78286.780859375,4.360463758634658,1.8676649440882154
2025-10-10,93646.0078125,93745.20909196239,91959.5860616393,93249.20269465042,35269748,79507.520703125,5.181058354055801,2.0444374956297775
2025-10-13,92554.796875,92653.99815782423,89975.5635215702,90570.77121851554,23883308,80703.328125,-1.16525088788072,2.064599537041031
2025-10-14,90868.375,95233.23144104803,89479.55704148472,94538.82246179039,35545235,81785.186328125,-1.822079386417541,2.1932767057489078
2025-10-15,94241.21875,94538.82259868422,91364.38154605264,91562.7841118421,21050111,82966.554296875,3.7117905431895304,2.250940420678597
2025-10-16,96919.65625,96919.65625,94241.22153275332,94538.82539022517,28141060,84227.525390625,2.8421082998780767,2.2715803728562998
2025-10-17,97118.0546875,98308.47006671347,95927.63930828651,96423.64571629213,22730809,85458.9125,0.204704025144542,2.289530817461875
