Date,Close,High,Low,Open,Volume,MA_20,Daily_Return_%,Volatility_20
2025-09-03,216254.75,218207.3888261851,213325.79176072235,213325.79176072235,459718,,,
2025-09-04,216254.75,216254.75,214302.1111738149,215766.59029345372,249504,,0.0,
2025-09-05,214790.28125,217231.07990056818,214302.12151988636,216742.92017045454,245652,,-0.6771961078311572,
2025-09-08,213325.78125,213325.78125,210396.8231550343,212837.6215675057,382254,,-0.6818278701797631,
2025-09-09,213813.9375,215278.41652397258,213325.77782534246,214302.09717465754,407652,,0.2288313429064326,
2025-09-10,215278.4375,216742.91666666666,213813.9583333333,214302.11805555553,427432,,0.6849413172609564,
2025-09-11,217719.21875,217719.21875,213813.9412836323,216254.7397001121,569436,,1.1337787835811408,
2025-09-12,218207.390625,218695.55033557047,215278.43236157717,217231.07120385906,666184,,0.2242208463739459,
2025-09-15,209908.671875,216254.7480014535,209908.671875,216254.7480014535,1712249,,-3.8031336730760645,
2025-09-16,209908.671875,211373.15098110467,209908.671875,210884.99127906977,492855,,0.0,
2025-09-17,210885.0,211373.15972222222,209908.68055555553,210885.0,412548,,0.4651204337005277,
2025-09-18,211373.15625,213325.79510681293,209908.67710739028,211373.15625,652885,,0.231479834981152,
2025-09-22,212837.625,213813.94438073394,209420.5071674312,209908.66685779818,499195,,0.6928357299391008,
2025-09-23,213813.9375,214790.25684931508,212349.4584760274,212349.4584760274,473760,,0.45871236347427846,
2025-09-24,212349.484375,214302.12331178162,211373.1649066092,212837.64410919542,383310,,-0.6849193939941323,
2025-09-25,211861.3125,212349.4722062212,210396.8333813364,211861.3125,509882,,-0.22989077484073528,
2025-09-26,209420.5,210396.81934731934,207956.02097902098,209908.65967365968,448652,,-1.1520803261331647,
2025-09-29,209908.671875,211373.15098110467,208932.35247093023,210396.8315770349,339105,,0.2331060593399492,
2025-09-30,209908.671875,210884.99127906977,208932.35247093023,208932.35247093023,339691,,0.0,
2025-10-01,210396.828125,211861.30720707658,209908.66843097447,210396.828125,297048,212910.85390625,0.23255649499354103,
2025-10-02,214790.28125,217719.2396306818,211373.16313920452,211373.16313920452,1099674,212837.63046875,2.088174600422099,1.1357268886265288
2025-10-10,211861.3125,215034.35059043777,211373.1527937788,213813.95132488478,779161,212617.95859375,-1.363641191284115,1.1742512844389874
2025-10-13,213325.78125,214302.10061498854,208932.34410755147,209420.50379004577,544349,212544.73359375,0.6912393455506427,1.1784609807504318
